ID,n_total,n_retained_gt0mm,n_retained_gt5mm,n_retained_gt10mm,note
IM_Levallois_convergent,24,24,24,22,
IM_Levallois_laminar,25,25,25,24,
IM_Levallois_preferential,24,24,24,22,
IM_Multiplatform,6,6,6,6,
IM_biface,24,24,24,20,
IM_conical_unipolar_cortical,12,12,12,12,
IM_conical_unipolar_scarred,13,13,13,13,
IM_cylindrical_bipolar,12,12,12,12,
IM_cylindrical_unipolar_cortical,12,12,12,12,
IM_cylindrical_unipolar_scarred,13,13,13,13,
IM_discoid,16,16,0,0,ERASED at >5mm (synthetic uniform length)
IM_discoid_unifacial,8,8,0,0,ERASED at >5mm (synthetic uniform length)
